message,label
"Формирую команду для заработка в интернете! От $100 в день стабильно. Пиши «+», всё объясню.",1
Срочно требуются 2 человека. Оплата от 16 тыс. рублей в день. Удалёнка. Напишите в ЛС!,1
"🍞 Испечь вам хлеб? Принимаем заказы на вечерний выпуск хлеба! В наличии: Маг с семечками, Багет итальянский, Тыквенный, Пшеничный на закваске, Деревенский на кефире, «Зёрнышко» на закваске, Домашний на закваске, Хюгге черничный. Также миндальные круассаны и другая сладкая выпечка. Оставляйте заказы здесь.",0
"Воу, я что-то пропустил 😅 Неожиданно, очень приятно)",0
Жизньмарт Инфо: запускаем проект «ХУДЕЙ» совместно с Drive Fitness! Заявки до 27 апреля. Детали по ссылке.,0
"Пробовали, но есть подозрение, что антиспам-боты убирают не только плохие сообщения. Вручную надёжнее!",0
Добрый день! Испечёте хлеб пшеничный бездрожжевой на закваске? К 17:30.,0
Добрый день! Конечно ☀️,0
На имя Жанна. Благодарю.,0
Будем ждать 🫶🏻,0
Жизньмарт Инфо: розыгрыш 100 онигири 🍙. Подпишись и нажми «Участвую»; итоги 4 мая.,0
"Здравствуйте! Испеките, пожалуйста, к 11:30 хлеб пшеничный бездрожжевой на закваске!",0
Доброе утро! Конечно💚,0
Благодарю!,0
"Доброе утро, подскажите, пожалуйста, можете приготовить тыквенный хлеб?",0
Добрый день! Да 💚,0
"Здравствуйте, у вас есть сет мини-бриошь?",0
"К сожалению, бриошей нет в наличии.",0
"Если выбираете подарок, есть десерт «танцующие шоколадные котики» 🐈‍⬛",0
Каждый день — возможность сделать что-то хорошее! Читайте свежий выпуск «Зелёной молнии».,0
"Работаю с автошколой, могу помочь со сдачей. Есть уроки вождения. Пишите, кому интересно!",0
"Здравствуйте, на завтра можно хлеб заказать?",0
"Добрый вечер! Конечно, какой хлеб вас интересует?",0
Какие есть?,0
"В наличии: тыквенный, Зернышко, Домашний на закваске, Чиабатта, Багет итальянский, Маг с семечками. Какой испечь для вас?",0
"Мне к 15:00: 1 тыквенный, 1 домашний на закваске, 1 чиабатта.",0
"Добро утро! Хорошо, испечём 😇",0
Спасибо),0
Всегда пожалуйста 😌,0
Хорошая деятельность с гибким графиком и пассивным доходом! Ставьте «+» обсудим детали,1
Лёгкий заработок от 125к рублей в неделю! Безопасно! Заинтересовались? Пиши в л.с. за подробной информацией.,1
"Жизньмарт Инфо: Онигири «Юки» — 幸 (Счастье). Цвет: красный; начинка: креветки-манго. История вкуса для тех, кто живёт ярко и вкусно.",0
"Здравствуйте! Ищу несколько людей на дистанционную неполную занятость, без привязки к офису. Возможность зарабатывать до 100-200 $ в день. За подробностями — пишите мне «плюс».",1
"Предлагаю формат удалённого заработка с доходом от 350 $ в день. Работа без офиса, можно совмещать. От 23 лет. Пиши «+» в ЛС — расскажу суть.",1
Ищу пару человек для удалённой деятельности. Доход от 250 $ в день. Если хочешь узнать больше — пиши «+» в лс!,1
Лёгкий заработок от 1400 $ в неделю! Легально. Заинтересовало? Пиши в л.с. за подробностями.,1
"Жизньмарт Инфо: Розыгрыш 100 онигири. Подписка на 50, 30 и 20 штук. Итоги 4 мая в 16:00.",0
Срочно требуются 2 человека. Прибыль от 16 000 ₽ в день. Удалёнка. Подробности в ЛС.,1
Онлайн-возможность с гибким графиком (1–2 ч/день). Доход от 350 $ в неделю. Интересно? Напиши «+» в ЛС!,1
"Ищу ответственных людей для онлайн-заработка от 150 $ в день. Легально, обучение, поддержка. Возраст 23+. Пиши «+» в ЛС.",1
Есть места на удалёнку с хорошим доходом (1–2 ч/день). Пишите «+» в ЛС за деталями!,1
Есть возможность заработать от 1200 $ в неделю. Ищу партнёров. Пишите в личные сообщения.,1
Андрей: Добрый день! Испечёте к 12:00 хлеб пшеничный на закваске без дрожжей?,0
"Екатерина Пюрешкина: Добрый день! Хорошо, будет сделано 😊",0
Андрей: На имя Жанна. Благодарю.,0
Добрый день! Ищу несколько людей на дистанционную неполную занятость… (до 100-200 $ в день). Пишите «плюс».,1
Срочно требуются 2 человека. Прибыльность от 15 000 ₽ в день. Удалёнка. Подробности в ЛС!,1
Жизньмарт Инфо: «Латте Тёмная Вишня» и «Манговый Бамбл» ко Дню Космонавтики — два новых вкуса.,0
"Motsiel.t.me: ☕️ Все варианты рафа снова в наличии! Классический, солёная карамель, сироп на выбор. Ждём на Новаторов 8в.",0
"денчик: Здравствуйте, в наличии есть жареный онигири с беконом?",0
"Motsiel.t.me: К сожалению, жареные онигири закончились. Остался омисуби, отложить?",0
"денчик: Нет, спасибо.",0
Привет! Срочно нужны ещё 2 человека на удалённую занятость. Нужен только телефон или компьютер. Пиши «+» в ЛС!,1
Кому интересно получать 650 $ в день — напишите «старт» в личные сообщения.,1
Есть способ получать от 280 $ в день. Интересно? Напишите «плюс» в личку — дам конкретику.,1
"Андрей: Доброе утро ☀️ Испечёте хлеб пшеничный бездрожжевой на закваске к 12:00, на имя Жанна?",0
Влада: Доброе утро! Конечно 👍,0
Андрей: Благодарю,0
"Ксю: Здравствуйте, сколько по времени готовится хлеб?",0
Жизньмарт Новаторов 8в: Зернышко — час. Сделать вам? 😊,0
"Ксю: Да, пожалуйста, напишите по готовности 🥹",0
"฀฀: Здравствуйте, кокосовый мокко появился?",0
"Кирилл Брусков: Здравствуйте, да 😌",0
"Анна: Хотите зарабатывать 800+ $ в неделю? Гибкий график, обучение бесплатно, от 21 года. Пишите @Alexey_771.",1
"Светлана Бреднева: Доброе утро, как обычно, прибегу через 5 мин.",0
"Доброго дня, друзья! Свежий кофе и выпечка ждут вас в Жизньмарт на Новаторов 8в.",0
"Андрей: Добрый день! Испечёте хлеб пшеничный бездрожжевой на закваске? На имя Андрей, заберу в течение дня.",0
Ничка: Ваш хлебушек готов! 💚,0
Жизньмарт Инфо: Онигири «Хоши» — 星 (Звезда). Цвет: белый; начинка: курица в сливочном соусе. Для ценящих чистоту момента.,0
Срочно требуются 2 человека. Заработок от 16 000 ₽ в день. Удалёнка. «+» в ЛС.,1
Екатерина Пюрешкина: Пасхальные куличи — классический с изюмом и пряный. Ждём в магазине!,0
"Нужны люди для заработка, кому интересно — жду в лс.",1
"Привет, нужно буквально 2 человека. Заработок от 12 000 ₽ в день, телефон/ПК. Подробности — @EVGENIYARUHR",1
Требуются 2 человека. Оплата от 900 $ в неделю. Удалённо. «+» в ЛС.,1
Привет! Ищу 2–3 человека в мини-команду. Прибыль 100-140 $ в день. Возраст 20+. Пиши «+».,1
Ищу людей на дистанционную деятельность. Потенциальный заработок до 150-200 $ в сутки. Отправь «+».,1
"Занятость без привязки к месту, доход от 110 $ в день. Пишите!",1
"Жизньмарт Инфо: полезное меню (куриная грудка с киноа, индейка с булгуром и т.д.) от нутрициолога Татьяны Сергеевой.",0
"Привет, нужны люди удалённо, заработок от 12 000 ₽ в неделю. Пиши «+».",1
Ксю: Добрый день! Можно испечь хлеб «Зернышко» на имя Дмитрий и написать по готовности?,0
"Iщу людей для доп. заработка от 35 000 ₽ в неделю, всё в личку.",1
"Нужно пополнение в команду! Сотрудничество и достойный заработок, обучение с нуля. Пишите в лс.",1
Жизньмарт Инфо: Онигири «Ункай» — 逆界 (Обратная сторона облаков). Цвет: чёрный; начинка: лосось с апельсином.,0
"Ищем людей для удалённого дохода, обучаем. Доход от 700 $ в неделю. Пиши в ЛС.",1
Стабильный онлайн-доход до 150 $ в день. Пиши «плюс» за деталями.,1
Ищу партнёров для пассивного заработка до 26 000 ₽ в день. Пишите в личные.,1
"Жизньмарт Инфо: Пасха близко — необычные десерты, новости и рекорд Овечкина. Ссылка на выпуск 15/04/2025.",0
"Предлагаем вариант для занятых: гибкий формат, доход до 150 $ в день. Напишите — объясню детали.",1
Онлайн-доход до 100-120 $ в день. Пишите «плюс» за подробностями.,1
Срочно требуются 2 человека. Прибыль от 16 000 ₽ в день. Удалёнка. Подробности в лс.,1
"Предлагаю удалёнку на отличных условиях, заинтересованные «+» в личку",1
"Приветствую, у меня есть прибыльное предложение (1500 $ в неделю, дистанционный формат, 18+). За подробностями пишите в лс",1
"Добрый день, ищу людей, кому интересен заработок от 1300 $ в неделю. Пишите в личные сообщения.",1
"Возможность сотрудничества: заработок 2000-4000 $ в месяц, неполная занятость, обучение, дистанционно. Жду в чате.",1
Екатерина Пюрешкина: Хорошо!,0
Андрей: Благодарю,0
"Привeт, нyжно буквально 2 человека. Можно заработывать с дома, имея тeлeфoн или кoмпьютер. От 200 зeлёных в день. За подробностями пишете ей – @EVGENIYARUHR",1
"Привeт, нyжно буквально 2 человека. Можно заработывать с дома, имея тeлeфoн или кoмпьютер. От 200 зeлёных в день. За подробностями пишете в ЛС «+».",1
"денчик: Здравствуйте, а вы сегодня сможете разменять мелочь?",0
Екатерина Пюрешкина: Здравствуйте! А сколько у вас мелочи?,0
денчик: 170,0
"Екатерина Пюрешкина: Да, сможем",0
"денчик: И можете, пожалуйста, отложить жареный онигири с беконом 1 штуку",0
"Екатерина Пюрешкина: Они, к сожалению, закончились, но остался горячий онигири с куриным филе",0
Хотите с лёгкостью зарабатывать от 635 долл. в день? Предоставляю легальный заработок. Интересно? Пишите в личные за подробностями!,1
Привет! Веду набор на дистанционную неполную занятость. Доход — до 150-200 долларов в день. Для получения деталей — напишите «+». Желаю удачи!,1
"денчик: Здравствуйте, а когда вам тогда их завезут?",0
Влада: Добрый день! Завтра утром привезут 😊,0
денчик: Спасибо 👀,0
"Жизньмарт Инфо: Хотим радовать вас не только классными постами, но и сторис 💛 … (опрос о boost-подписке)",0
"Удалённая занятость, от 130 $ в день. Пишите!",1
"Приветствую! Ищу заинтересованных в дополнительном пассивном доходе в удобное время. Всё просто, без привязки к месту. Подробности — в личных сообщениях!",1
В поисках людей НА УДАЛЁНКУ с хорошим доходом (занятость до 2-3 часов/день). Пишите в лс «+».,1
"🤍: Здравствуйте! Подскажите, пожалуйста, в этом году будут куличики к Пасхе? 🥰",0
Влада: Добрый вечер! Сейчас уточним информацию и обязательно ответим вам 🌿,0
Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация «+» в лс,1
"Barbara: добрый! Подскажете, пожалуйста, а раф до сих пор в стопе?",0
"🤍: Буду ждать, спасибо 🫶",0
"Влада: Добрый вечер! К сожалению, да 🥺",0
"Barbara: Эмое ( … почему обычного нет? Неизвестно, когда появится?",0
Влада: Раф солёная карамель тоже сейчас недоступна 😭😭,0
Нужны люди в команду. Приятный ЗАРАБОТОК от 200 $ в день. Если интересует подробная информация «+» в лс,1
"Влада: К сожалению, пока неизвестно 😭 Может, вам сообщить, когда появится?)",0
"Barbara: … да, спасибочки!",0
"Влада: Обязательно напишем вам, когда раф появится в наличии 💗💗",0
"Набираем людей в команду для взаимовыгодного сотрудничества. Ежедневные выплаты, пассивный заработок, удалёнка с любого устройства. Пиши «+» в ЛС!",1
"Barbara: Доброе утречко 🌸 Можно, пожалуйста, раф с миндальным сиропом, подойду через 5 минут 🫂",0
Жизньмарт Инфо: 💫 Начните день вкусно! … (выпечка и киш лорен),0
Хорошая деятельность с гибким графиком и пассивным доходом! Ставьте «+» — обсудим детали,1
Лёгкий заработок от 125 000 ₽ в неделю! Безопасно! Заинтересовались? Пиши в л.с. за подробной информацией.,1
"Жизньмарт Инфо: Онигири «Юки» — красный, креветки + манго. Для тех, кто живёт ярко.",0
Здравствуйте! Ищу несколько людей на дистанционную неполную занятость… до 100-200 $ в день. Пишите «плюс».,1
"Предлагаю формат удалённого заработка с доходом от 350 $ в день. Работа без офиса, можно совмещать. От 23 лет. Пиши «+» в ЛС.",1
Ищу пару человек для удалённой деятельности. Доход от 250 $ в день. Пиши «+» в лс!,1
Лёгкий заработок от 1400 $ в неделю! Легально. Пиши в л.с. за подробностями.,1
Жизньмарт Инфо: Розыгрыш 100 онигири. Итоги 4 мая.,0
Срочно требуются 2 человека. Прибыль от 16 000 ₽ в день. Удалёнка. Подробности в ЛС,1
"Есть онлайн-возможность с гибким графиком (1-2 ч/день), доход от 350 $ в неделю. Напиши «+» в ЛС!",1
Ищу ответственных людей для онлайн-заработка от 150 $ в день. Возраст 23+. Пиши «+» в ЛС.,1
Есть места на УДАЛЁНКУ с доходом. Занятость 1-2 ч/день. Пиши «+» в ЛС!,1
Есть возможность заработка от 1200 $ в неделю. Ищу партнёров. Пишите в личные сообщения.,1
Андрей: Добрый день! Испечёте к 12:00 хлеб пшеничный на закваске бездрожжевой?,0
"Екатерина Пюрешкина: Добрый день! Хорошо, будет сделано 😊",0
Андрей: На имя Жанна. Благодарю,0
Екатерина Пюрешкина: Хорошо,0
Добрый день! Ищу несколько людей на дистанционную неполную занятость… до 100-200 $ в день. Пишите «плюс».,1
Срочно требуются 2 человека. Прибыль 15 000 ₽ в день. Удалёнка. Подробности в ЛС!,1
Жизньмарт Инфо: ✨ Космос внутри вас! … (новые вкусы латте),0
Motsiel.t.me: ☕️ Все варианты рафа снова в наличии! …,0
"денчик: Здравствуйте, в наличии есть жареный онигири с беконом?",0
Motsiel.t.me: Жареные онигири закончились. Остался омисуби.,0
"денчик: Нет, спасибо",0
Привет! Срочно нужны ещё 2 человека на удалённую занятость. Нужен телефон или компьютер. Пиши «+» в ЛС!,1
"Кому интересно получать 650 $ в день, напишите «старт» в личные.",1
Есть способ получать от 280 $ в день. Напишите «плюс» — дам конкретику.,1
"Андрей: Доброе утро ☀️ Испечёте хлеб бездрожжевой на закваске к 12:00, на имя Жанна?",0
Влада: Доброе утро 🌿 Конечно 👍,0
Андрей: Благодарю,0
"Ксю: Здравствуйте, сколько по времени готовится хлеб?",0
Жизньмарт Новаторов 8в: Обычно от 30 минут до часа,0
Ксю: Зернышко,0
"Жизньмарт Новаторов 8в: Зернышко — час, сделать вам? 😊",0
"Ксю: Да, пожалуйста, напишите по готовности 🥹",0
Жизньмарт Новаторов 8в: Хорошо 😁,0
"฀฀: Здравствуйте, кокосовый мокко появился? 👀",0
"Кирилл Брусков: Здравствуйте, да 😌",0
Ксю: Ещё не готово?,0
"Кирилл Брусков: Только что испекся, можете приходить 😋",0
"Анна: Хотите зарабатывать 800 $ в неделю? Гибкий график, обучение бесплатно, 21+. Пишите @Alexey_771",1
"Светлана Бреднева: Доброе утро, мне как обычно, прибегу ❤️",0
Ничка: Доброе утро 💚 Уже готовим!,0
"Доброго всем дня, дорогие друзья! ☀️ Свежий кофе и выпечка ждут вас в Жизньмарт на Новаторов 8в.",0
"Андрей: Добрый день! Испечёте хлеб бездрожжевой? На имя Андрей, заберу в течение дня.",0
Ничка: Через полтора часа будет готов 💚,0
Андрей: Благодарю,0
Ничка: Ваш хлебушек готов! 💚,0
"Жизньмарт Инфо: Онигири «Хоши» — белый, курица + сливочный соус. Для тех, кто ценит чистоту момента.",0
Срочно требуются 2 человека. Заработок от 16 000 ₽ в день. Удалёнка. «+» в ЛС,1
Екатерина Пюрешкина: Пасхальное чудо в каждой крошке! (куличи),0
Стабильный заработок без усилий!Всего несколько мест!Заработок от 25к рублей в неделю.Интересно?Пиши в л.с. расскажу дополнительную информацию.,1
Хотите легко зарабатывать от 400 долл в день?Предоставляю легальный заработок.Интересно?Пишите в л.с за подробностями!,1
"Добрый день. Ищу людей. Есть онлайн заработок от девяти тысяч в день, по всем вопросам писать в л.с.",1
"Привет, нужны 12 человек, все с телефона или компьютера. От 120 $ в день. Удалённая занятость, пиши «+» в ЛС",1
"Заработок от 250 $ в день на удалённой работе! Ежедневные выплаты, всего 2 часа в день, работай из любой точки мира. Напиши «+» в личку для подробностей!",1
Выгодное партнёрство с заработком от 1300 долл в неделю! Места ограничены! За подробностями в л.с.,1
"Рабиота от 6540 р в день, проезд+ / рассмотрим эмигрантов и студентов",1
"Зарабатывай до 40 000 рублей дистанционно! Не нужно выходить из дома, нужен только интернет. Пиши «+» в ЛС, расскажу, как начать.",1
"Мечтаешь о дополнительном доходе до 70 000 рублей в месяц? Дистанционная работа доступна каждому! Пиши «+» в ЛС, расскажу, как начать.",1
"Здравствуйте. Возьму 2–3 человека в топ-команду, где можно получать от 600 долларов в неделю. Пишите в личные сообщения «плюс».",1
"Привет, нужен 1 человек, телефон или компьютер. От 180 $ в день. Удалённая занятость, пиши «+» в ЛС",1
🔥 Новый способ заработка! От 200 $ до 700 $ в день без сложностей. Всё честно и прозрачно. Пиши в личку! 📩,1
"Здравствуйте. Кому интересно узнать, как получать 440 долларов в день, пишите «старт» в личные сообщения.",1
"Ищу людей для удалённой работы! Доход от 100-180 $ в день, до 2 часов работы, из любой точки мира. Пиши «+» в личку!",1
"Срочно набираем 5 партнёров в команду. Работа полностью удалённая, от 400 $ в неделю. Если интересно — пиши «+» в ЛС!",1
"Не упусти возможность! Нужны люди 23+. Заработок 100-150 $ в день, телефон или ПК. Пишите «+» в ЛС",1
Приглашаем к сотрудничеству на взаимовыгодных условиях! Доход — от 2000 $ в неделю при занятости 1–2 ч в день. Напишите «+» в ЛС.,1
Готов к доходу от 700 $ в неделю? Уникальные условия: до 10 % еженедельно. Мест мало — пишите в личные сообщения.,1
Дам Work в лс,1
"Svetlana: Добрый день. Скажите, пжл, есть в наличии суши-сэндвич с чуккой и с лососем (2 в 1)?",0
"Екатерина Пюрешкина: Добрый день! Да, есть 1 штучка, отложить вам?",0
Svetlana: Да. Пожалуйста. Подойду через час примерно. Может раньше.,0
Екатерина Пюрешкина: Хорошо! 🌸,0
Андрей: Добрый день! Улитку с курицей две штуки приготовите?,0
"Влада: Добрый день! Конечно, они будут готовы в течение 40 минут 😊",0
Андрей: Заберёт Жанна.,0
Влада: Поняла! Будем ждать 🫶🏻,0
Влада: А может 3? 😎,0
"Простая математика Жизньмарт! 🌿1 + 1 = 3. При покупке 2 жареных онигири — 3-й в подарок! Акция только сегодня, успейте!",0
"Мария: Доброе утро 🌞 Подскажите, есть в наличии круассаны?",0
"Ничка: Доброе утро 🌼 В наличии классические круассаны, испечь для вас? 🫶",0
"Мария: Нет, спасибо.",0
"Ольга: Доброе утро, можно ссылку чата Донбасская 21?",0
"Екатерина Пюрешкина: Доброе утро 😀 К сожалению, нет, но я поищу.",0
Ольга: Спасибо 🙏,0
Екатерина Пюрешкина: Пожалуйста 🌸,0
"tupaya: Здравствуйте, напишите, пожалуйста, в личные сообщения.",0
"Чат друзей Новаторов 8В Жизньмарт мини: Добрый день, уже пишем).",0
"Анна Шик: Здравствуйте! Подскажите, есть ли в наличии суп куриный с лапшой?",0
"Жизньмарт Новаторов 8в: Здравствуйте! К сожалению, сейчас нет в наличии 🥺",0
"Жизньмарт Инфо: Онигири поймали дзен. Теперь ваша очередь! Сядьте в тишине, откройте «Зелёную молнию» и погрузитесь в поток хороших новостей 🧘🏻‍♀️",0
Зарабатывай от 500$ в день! Пиши +,0
Зарабатывай от 500$ в день! Пиши +,1
"Здравствуйте, открыт набор на дистанционную занятость.
Доход от 2200$ в месяц.
Подходит при занятости 2–4 часа в день.
Нужен телефон либо ПК и готовность обучаться.
Удаленно.
Пишите мне в личные сообщения за деталями.",1
"Ребят, удалёнка",0
"Прuвет всем, хoчу предлoжuть реaльный дoпoлнuтельный зaрaбoтoк‼️

- От 200$ в/зa день гaрaнтuрoвaнo 
- Чaс в день твoегo временu 
- Возраст 20+
- Честнo u легaльнo, НЕ НАРКОТИКИ!! 
‼️Не берём никаких оплат от вас

Еслu ты действuтельнo зauнтересoвaн в быстрoм u честнoм зaрaбoтке , пuшu +",1
УДАЛЁНКА!!!!,1
ахахахахах удалёнка завтра!!!,1
